urlDrugName,highly_effective,benefitsReview
prozac,Effective,"Within a few days, my mood, self-esteem, attitude and over-all well-being improved tremendously! I went from feeling suicidal and not being able to funtion properly in order to take care of myself or my family, to feeling better than I had since I was in my teens. I began to lose some of the weight I had gained from being depressed. I was in a wonderful mood and I had so much more energy than I had in years. My overall experience with Prozac has been perfect!"
celexa,Not Effective,There were no benefits.  It did not solve the organic issues and created new problems.
celexa,Effective,"Citalopram turned me into myself again. I didn't really have depression but suffered from too much worrying and anxiety to carry on healthy relationships and feel in control of my life. I have just begun feeling the full effects of this medication and it is incredible. I wake up early in the morning, rested and ready to go. I feel more motivated, have more energy and feel much more focused. I have also experienced some weight loss while on Citalopram, probably because I feel so motivated and energetic to actually exercise! Additionally I've noticed my worrying, anxiety and emotional eating have decreased significantly."
sotret,Effective,the drug permanently cleared my acne.  i no longer had breakouts...not even blackheads.  my skin was very dry which i suppose for someone with oily skin this would have been a benefit.
fosamax,Not Effective,"An increase of bone density after a year so I was told I went from being a sever case of osteoporosis to moderate.  I took Fosamax from 2003 to 2007, when my gynocologist switched me to Boniva.  From what I've heard lately, Merck knew of this problem but would not publish information regarding what could happen to other bones."
chantix,Not Effective,To cease smoking.  I have a 40 year old habit!
nortriptyline,Effective,"good lifting of depressive feelings, reduction in chronic back pain associated with endometriosis and fibromyalgia"
spironolactone,Effective,"It greatly reduced acne from moderate, sometimes painful breakouts to rare mild acne without any side effects. It even made body hair more fine and the need for shaving legs, etc was decreased."
lamictal,Effective,"sigificantly lifted depression, stablized mood, calming affect, better sleep, eliminated social anxiety, WONDER DRUG!"
cymbalta,Effective,"Cymbalta takes effect quickly -- within days, as opposed to weeks -- and relieves one's sense of hopelessness, futility and fatigue during a deep depression. At higher doses, a sense of purpose and direction to one's life was also restored, allowing the patient (in this case, me) to exercise better judgment and effective follow through on plans and decisions."
advair-hfa,Effective,"Considerable difference in management of of chronic asthma. This is the only drug I have taken that has completely changed the way my lifelong asthma was controlled. Relief was immediate and the severity of asthma attacks has considerably lessoned to a degree as opposed to other drugs which supposedly prevented the attack but when one did occur, were life threatening."
nasarel,Effective,"Prior to using this spray, I had year round nasal problems: unable to breathe out of one or both nostrils.  The symptoms were particularly bad during the summer, and whenever I was in a laying down position.  The symptoms greatly interfered with my sleep.  When using this spray on a regular basis, my nostrils are completely clear most of the time, and I have minimal nasal problems during my allergy season."
lexapro,Effective,benefits: Nervous twitch went away under my eye. I am able to handle stressful situations better.
triphasil,Effective,"general medical benefits:  contraception, hormone management.  Personal benefits: i controlled my weight better, skin looked more radiant and menstruation pains were alot less than when i was not on the medication.  As i grew older though i have been warned of being on contraception after 32 and I am also a smoker, this apparently increases the risk of cancer.  However, after terminating the pill I had a huge amount of hair loss over 8 months which I was never warned about"
